,SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA
2584,c1ccc(c(c1)/C=N/Nc2nc(cnn2)O)Br,mol2584,Filter9_metal > 0,294.11199999999997,1.7856999999999994,2,6,83.29
2585,C/C=C/C(=N/Nc1nc2ccccc2s1)/N,mol2585,Filter39_imine > 0,232.31200000000004,2.5564999999999998,2,4,63.3
2586,c1ccc2c(c1)[nH]/c(=N/N=C/c3ccccn3)/s2,mol2586,OK,254.318,2.5592000000000006,1,4,53.4
2587,Cc1c(sc(n1)NC(=O)C2c3ccccc3Oc4c2cccc4)C,mol2587,OK,336.4160000000001,4.6362400000000035,1,4,51.22
2588,C1CN[C@@H]2[C@H]1CN(C2)C(=O)CC3CC3,mol2588,OK,194.27799999999996,0.6067999999999996,1,2,32.34
2589,CCOC(=O)c1ccccc1C#C,mol2589,OK,174.19899999999998,1.8446000000000002,0,2,26.3
2590,c1ccc(c(c1)C(=O)O)N=Nc2ccc(cc2)O,mol2590,Filter5_azo > 0,242.23399999999998,3.505800000000002,2,4,82.25
2591,CN1CCCN(c2c1nc3ccccc3n2)C(=O)/C=C/c4cccs4,mol2591,OK,350.44700000000006,3.577600000000002,0,5,49.330000000000005
2592,c1cc2ccc(nc2c(c1)F)C(=O)N3CC(C3)N4CCOCC4,mol2592,OK,315.3480000000001,1.5305,0,4,45.67
2593,CC(C)n1cnnc1CN2c3cccc4c3c(ccc4)C2=O,mol2593,OK,292.34200000000004,3.172600000000002,0,4,51.02
2594,Cc1cc(c(nc1)F)C(=O)OC,mol2594,Filter94_2_halo_pyridine > 0,169.155,1.3157199999999998,0,3,39.19
2595,c1cc(c(cc1F)[C@@H]2CCN2)C(F)(F)F,mol2595,OK,219.18099999999995,2.8789000000000007,1,1,12.03
2596,Cc1ccc(c2c1c(c([nH]2)C)CC(=O)N3CCC[C@H](C3)N)C,mol2596,OK,299.418,2.5853600000000005,2,2,62.120000000000005
2597,C/C(=N/Nc1nc2ccccc2n1C)/c3ccc4ccccc4c3O,mol2597,Filter39_imine > 0,330.3910000000001,4.268200000000003,2,5,62.44
2598,c1c(cc(cc1OC(F)(F)F)Br)C(F)(F)F,mol2598,Filter9_metal > 0,309.003,4.3665,0,1,9.23
2599,c1ccc2c(c1)cnnc2N/N=C/c3ccc[nH]3,mol2599,OK,237.26600000000005,2.4038999999999993,2,4,65.96000000000001
2600,c1ccc2c(c1)C(=NS2(=O)=O)N/N=C/c3cccc(c3)Br,mol2600,Filter9_metal > 0,364.22400000000005,2.521700000000001,1,4,70.89
2601,CC(=C)C(F)(F)F,mol2601,Filter3_allyl_halide > 0,110.07800000000002,2.1247999999999996,0,0,0.0
2602,c1c(cnc(c1C(=O)O)O)Br,mol2602,Filter9_metal > 0,218.00599999999997,1.2479,2,3,70.42
2603,c1ccc(c(c1)/C=N/N=C\2/N=C(CS2)O)O,mol2603,OK,235.268,1.7853999999999997,2,4,77.54
2604,c1cc(ccc1/C=N/Nc2c3c([nH]cn3)ncn2)O,mol2604,OK,254.25300000000001,1.5044999999999988,3,6,99.08000000000001
2605,COc1cccc2c1ccnc2C#N,mol2605,OK,184.19799999999998,2.11508,0,3,45.91
2606,c1ccc2c(c1)c(ccc2O)/C=N/Nc3nc4ccccc4s3,mol2606,OK,319.389,4.6011000000000015,2,5,57.510000000000005
2607,C1CC2(CCOCC2)NC1,mol2607,OK,141.214,0.919,1,2,21.259999999999998
2608,COc1cnc(cc1C(=O)O)Cl,mol2608,Filter94_2_halo_pyridine > 0,187.582,1.4418,1,3,59.42
2609,Cc1cccc2c1[nH]c(=O)c(c2)/C=N/c3ccc(cc3)OC,mol2609,OK,292.3380000000001,3.5957200000000027,1,3,54.45
2610,c1cc(ccc1/N=C/2\N=C(/C(=C/3\c4cc(ccc4NC3=O)Br)/S2)O)Cl,mol2610,Filter9_metal > 0,434.702,5.1567000000000025,2,3,74.05
2611,Cc1ccccc1NC(=O)c2c(=O)[nH]c3ccccc3n2,mol2611,OK,279.29900000000004,2.4838200000000006,2,3,74.85
